district,state,censuscode,centroid_lat,centroid_lon
Adilabad,Andhra Pradesh,532,19.25646,78.97213
Agra,Uttar Pradesh,146,27.03766,78.07947
Ahmadabad,Gujarat,474,22.71002,72.19595
Ahmadnagar,Maharashtra,522,19.20349,74.6769
Aizawl,Mizoram,283,23.81062,92.88905
Ajmer,Rajasthan,119,26.2299,74.77517
Akola,Maharashtra,501,20.74891,77.05329
Alappuzha,Kerala,598,9.42356,76.44958
Aligarh,Uttar Pradesh,143,27.92687,78.07931
Alirajpur,Madhya Pradesh,465,22.31384,74.36452
Allahabad,Uttar Pradesh,175,25.2989,81.97172
Almora,Uttarakhand,64,29.6892,79.50194
Alwar,Rajasthan,104,27.59147,76.60602
Ambala,Haryana,70,30.32854,76.9422
Ambedkar Nagar,Uttar Pradesh,178,26.42006,82.66855
Amravati,Maharashtra,503,21.18784,77.57202
Amreli,Gujarat,480,21.3839,71.21645
Amritsar,Punjab,49,31.70461,74.90067
Anand,Gujarat,482,22.44798,72.77733
Anantapur,Andhra Pradesh,553,14.48103,77.57688
Anantnag,Jammu & Kashmir,14,33.8152,75.3575
Anjaw,Arunanchal Pradesh,260,28.06549,96.82878
Anugul,Odisha,384,20.98637,84.90896
Anuppur,Madhya Pradesh,461,23.05674,81.68399
Araria,Bihar,209,26.1995,87.35434
Ariyalur,Tamil Nadu,616,11.16054,79.24422
Ashoknagar,Madhya Pradesh,459,24.60937,77.8752
Auraiya,Uttar Pradesh,162,26.66069,79.48276
Aurangabad,Bihar,235,24.79287,84.4122
Aurangabad,Maharashtra,515,20.02152,75.27345
Azamgarh,Uttar Pradesh,191,26.04704,83.06966
Badgam,Jammu & Kashmir,2,33.89001,74.66297
Bagalkot,Karnataka,556,16.22055,75.62538
Bageshwar,Uttarakhand,63,29.99111,79.85961
Baghpat,Uttar Pradesh,139,29.05527,77.31286
Bahraich,Uttar Pradesh,180,27.73638,81.45187
Baksa,Assam,324,26.66485,91.34651
Balaghat,Madhya Pradesh,457,21.88076,80.36061
Balangir,Odisha,393,20.59046,83.17388
Baleshwar,Odisha,377,21.48978,86.91704
Ballia,Uttar Pradesh,193,25.87538,84.10546
Balrampur,Uttar Pradesh,182,27.48497,82.37759
Banas Kantha,Gujarat,469,24.28352,72.03194
Banda,Uttar Pradesh,170,25.465,80.5618
Bandipore,Jammu & Kashmir,9,34.50404,74.82832
Bangalore Rural,Karnataka,583,13.22567,77.57501
Bangalore,Karnataka,572,12.95083,77.59594
Banka,Bihar,225,24.85369,86.84086
Bankura,West Bengal,339,23.14098,87.13496
Banswara,Rajasthan,125,23.47517,74.3639
Bara Banki,Uttar Pradesh,176,26.93864,81.3274
Bargarh,Odisha,370,21.22022,83.35344
Baramula,Jammu & Kashmir,8,34.16274,74.46339
Baran,Rajasthan,128,24.99517,76.75659
Barddhaman,West Bengal,335,23.42777,87.76773
Bareilly,Uttar Pradesh,150,28.44943,79.42228
Barmer,Rajasthan,115,25.73558,71.47327
Barnala,Punjab,54,30.39719,75.5048
Barpeta,Assam,303,26.34018,91.01084
Barwani,Madhya Pradesh,441,21.78737,75.02132
Bastar,Chhattisgarh,414,19.42196,81.77026
Basti,Uttar Pradesh,185,26.81835,82.63109
Bathinda,Punjab,46,30.18277,75.04066
Bauda,Odisha,391,20.64681,84.17764
Begusarai,Bihar,222,25.49529,86.13084
Belgaum,Karnataka,555,16.11944,74.82298
Bellary,Karnataka,565,15.10956,76.53336
Betul,Madhya Pradesh,447,21.87796,77.87104
Bhadrak,Odisha,378,20.98586,86.6254
Bhagalpur,Bihar,224,25.27048,87.08437
Bhandara,Maharashtra,506,21.12921,79.7509
Bharatpur,Rajasthan,105,27.24565,77.27883
Bharuch,Gujarat,488,21.7864,72.92515
Bhavnagar,Gujarat,481,21.66656,71.84105
Bhilwara,Rajasthan,122,25.47997,74.72907
Bhind,Madhya Pradesh,420,26.42108,78.72265
Bhiwani,Haryana,81,28.71794,75.96762
Bhojpur,Bihar,231,25.46905,84.54368
Bhopal,Madhya Pradesh,444,23.47796,77.39608
Bid,Maharashtra,523,18.93042,75.86968
Bidar,Karnataka,558,17.95283,77.22645
Bijapur,Chhattisgarh,417,18.84322,80.7761
Bijapur,Karnataka,557,16.79372,75.9531
Bijnor,Uttar Pradesh,134,29.38698,78.39876
Bikaner,Rajasthan,101,28.17772,73.1774
Bilaspur,Chhattisgarh,406,22.35132,81.96167
Bilaspur,Himachal Pradesh,30,31.37231,76.6719
Birbhum,West Bengal,334,23.95356,87.66648
Bishnupur,Manipur,275,24.53522,93.80109
Bokaro,Jharkhand,355,23.69154,85.98803
Bongaigaon,Assam,319,26.3652,90.62478
Budaun,Uttar Pradesh,149,28.1153,78.94536
Bulandshahr,Uttar Pradesh,142,28.35757,78.0123
Buldana,Maharashtra,500,20.51106,76.40827
Bundi,Rajasthan,121,25.47004,75.77748
Burhanpur,Madhya Pradesh,467,21.37205,76.3702
Buxar,Bihar,232,25.49144,84.10182
Cachar,Assam,316,24.81125,92.85642
Central,NCT of Delhi,95,28.64312,77.21968
Chamba,Himachal Pradesh,23,32.67745,76.35425
Chamoli,Uttarakhand,57,30.49535,79.57874
Champawat,Uttarakhand,65,29.29885,80.06974
Champhai,Mizoram,284,23.5294,93.24002
Chamrajnagar,Karnataka,578,11.95689,77.09975
Chandauli,Uttar Pradesh,196,25.13743,83.26109
Chandel,Manipur,280,24.23549,94.09318
Chandigarh,Chandigarh,55,30.73006,76.78147
Chandrapur,Maharashtra,509,20.11793,79.44377
Changlang,Arunanchal Pradesh,253,27.36265,96.34518
Chatra,Jharkhand,347,24.17354,84.8871
Chennai,Tamil Nadu,603,13.0647,80.25231
Chhatarpur,Madhya Pradesh,425,24.79665,79.66614
Chhindwara,Madhya Pradesh,455,22.12138,78.85549
Chikkaballapura,Karnataka,582,13.57823,77.83619
Chikmagalur,Karnataka,570,13.45427,75.69134
Chirang,Assam,320,26.64297,90.61629
Chitradurga,Karnataka,566,14.1675,76.51643
Chitrakoot,Uttar Pradesh,171,25.20511,81.08962
Chittaurgarh,Rajasthan,126,24.82869,74.7798
Chittoor,Andhra Pradesh,554,13.46723,79.0143
Churachandpur,Manipur,274,24.28977,93.42688
Churu,Rajasthan,102,28.3455,74.69852
Coimbatore,Tamil Nadu,632,10.87452,76.97558
Cuddalore,Tamil Nadu,617,11.53503,79.4509
Y.s.r.,Andhra Pradesh,551,14.45987,78.78356
Cuttack,Odisha,381,20.44959,85.70574
Dadra & Nagar Haveli,Dadara & Nagar Havelli,496,20.19505,73.07065
Dakshin Bastar Dantewada,Chhattisgarh,416,18.49996,81.37964
Dakshin Dinajpur,West Bengal,331,25.36401,88.58818
Dakshina Kannada,Karnataka,575,12.83822,75.26665
Daman,Daman & Diu,495,20.41406,72.85235
Damoh,Madhya Pradesh,428,23.81279,79.52731
Darbhanga,Bihar,215,26.1138,86.02529
Darjiling,West Bengal,327,26.91347,88.39468
Darrang,Assam,325,26.44927,92.0374
Data Not Available,Jammu & Kashmir,0,35.53081,74.90383
Datia,Madhya Pradesh,422,25.85046,78.56876
Davanagere,Karnataka,567,14.40803,75.95477
Debagarh,Odisha,373,21.46594,84.80371
Dehradun,Uttarakhand,60,30.46351,77.97325
Deoghar,Jharkhand,350,24.32797,86.74114
Deoria,Uttar Pradesh,190,26.42274,83.83657
Dewas,Madhya Pradesh,437,22.74509,76.4564
Dhalai,Tripura,291,23.84307,91.92591
Dhamtari,Chhattisgarh,412,20.55614,81.8105
Dhanbad,Jharkhand,354,23.82926,86.47194
Dhar,Madhya Pradesh,438,22.49743,75.10414
Dharmapuri,Tamil Nadu,630,12.09689,78.19579
Dharwad,Karnataka,562,15.38935,75.15384
Dhaulpur,Rajasthan,106,26.68079,77.70334
Dhemaji,Assam,308,27.57775,94.77782
Dhenkanal,Odisha,383,20.82617,85.52621
Dhubri,Assam,301,26.06749,90.02238
Dhule,Maharashtra,498,21.10988,74.6011
Dibang Valley,Arunanchal Pradesh,257,28.9513,95.90275
Dibrugarh,Assam,310,27.36644,95.05617
Dindigul,Tamil Nadu,612,10.38976,77.82003
Dindori,Madhya Pradesh,453,22.88894,81.0561
Diu,Daman & Diu,494,20.72089,70.93987
Doda,Jammu & Kashmir,16,33.10081,75.6497
Dohad,Gujarat,485,22.85727,74.11595
Dumka,Jharkhand,362,24.31968,87.26664
Dungarpur,Rajasthan,124,23.73249,73.85513
Durg,Chhattisgarh,409,21.19119,81.35384
Dimapur,Nagaland,265,25.77852,93.78508
East,NCT of Delhi,93,28.62925,77.29802
East,Sikkim,244,27.29276,88.67805
East Garo Hills,Meghalaya,294,25.73517,90.63422
East Godavari,Andhra Pradesh,545,17.18855,82.01183
East Kameng,Arunanchal Pradesh,247,27.44112,92.96801
East Khasi Hills,Meghalaya,298,25.3804,91.80065
East Nimar,Madhya Pradesh,466,21.93619,76.57144
East Siang,Arunanchal Pradesh,251,28.12379,95.16339
Ernakulam,Kerala,595,10.05766,76.47268
Erode,Tamil Nadu,610,11.5152,77.4143
Etah,Uttar Pradesh,201,27.51206,78.71319
Etawah,Uttar Pradesh,161,26.75929,79.09655
Faizabad,Uttar Pradesh,177,26.65891,81.99242
Faridabad,Haryana,88,28.33272,77.35477
Faridkot,Punjab,45,30.61086,74.77917
Farrukhabad,Uttar Pradesh,159,27.43038,79.46134
Fatehabad,Haryana,78,29.57643,75.57916
Fatehgarh Sahib,Punjab,40,30.63222,76.36532
Fatehpur,Uttar Pradesh,172,25.87334,80.80699
Firozabad,Uttar Pradesh,147,27.1806,78.53987
Firozpur,Punjab,43,30.56049,74.4009
Gadag,Karnataka,561,15.43107,75.66628
Gajapati,Odisha,389,19.17338,84.16068
Ganderbal,Jammu & Kashmir,11,34.29467,75.19996
Gandhinagar,Gujarat,473,23.255,72.69233
Ganganagar,Rajasthan,99,29.39548,73.56315
Ganjam,Odisha,388,19.62693,84.67107
Garhchiroli,Maharashtra,508,19.78492,80.24108
Garhwa,Jharkhand,346,24.10105,83.69933
Garhwal,Uttarakhand,61,29.89287,78.76962
Gautam Buddha Nagar,Uttar Pradesh,141,28.39786,77.54706
Gaya,Bihar,236,24.69908,84.93599
Ghaziabad,Uttar Pradesh,140,28.73892,77.70671
Ghazipur,Uttar Pradesh,195,25.62245,83.55621
Giridih,Jharkhand,349,24.29636,86.11029
Goalpara,Assam,302,26.05546,90.60551
Godda,Jharkhand,351,24.85958,87.31212
Golaghat,Assam,313,26.45727,93.83344
Gonda,Uttar Pradesh,183,27.08411,82.02557
Gondiya,Maharashtra,507,21.14897,80.20535
Gopalganj,Bihar,217,26.44274,84.37731
Gorakhpur,Uttar Pradesh,188,26.65778,83.36143
Gulbarga,Karnataka,579,17.26017,76.86949
Gumla,Jharkhand,366,23.10226,84.53468
Guna,Madhya Pradesh,458,24.55464,77.20082
Guntur,Andhra Pradesh,548,16.29881,80.09152
Gurdaspur,Punjab,35,32.0242,75.38644
Gurgaon,Haryana,86,28.36806,76.94077
Gwalior,Madhya Pradesh,421,26.01138,78.21957
Hailakandi,Assam,318,24.49412,92.58877
Hamirpur,Himachal Pradesh,28,31.66804,76.52577
Hamirpur,Uttar Pradesh,168,25.73161,79.87894
