facility_id,day,total_beds,occupied_beds,occupancy_rate
BHAG-CHC-1,0,31,29,0.94
BHAG-CHC-1,1,31,22,0.71
BHAG-CHC-1,2,31,24,0.77
BHAG-CHC-1,3,31,19,0.61
BHAG-CHC-1,4,31,24,0.77
BHAG-CHC-1,5,31,25,0.81
BHAG-CHC-1,6,31,24,0.77
BHAG-CHC-1,7,31,25,0.81
BHAG-CHC-1,8,31,27,0.87
BHAG-CHC-1,9,31,26,0.84
BHAG-CHC-1,10,31,28,0.9
BHAG-CHC-1,11,31,23,0.74
BHAG-CHC-1,12,31,22,0.71
BHAG-CHC-1,13,31,21,0.68
BHAG-CHC-1,14,31,21,0.68
BHAG-CHC-1,15,31,21,0.68
BHAG-CHC-1,16,31,20,0.65
BHAG-CHC-1,17,31,27,0.87
BHAG-CHC-1,18,31,19,0.61
BHAG-CHC-1,19,31,27,0.87
BHAG-CHC-1,20,31,22,0.71
BHAG-CHC-1,21,31,21,0.68
BHAG-CHC-1,22,31,24,0.77
BHAG-CHC-1,23,31,27,0.87
BHAG-CHC-1,24,31,23,0.74
BHAG-CHC-1,25,31,28,0.9
BHAG-CHC-1,26,31,21,0.68
BHAG-CHC-1,27,31,26,0.84
BHAG-CHC-1,28,31,28,0.9
BHAG-CHC-1,29,31,22,0.71
BHAG-CHC-1,30,31,25,0.81
BHAG-CHC-1,31,31,25,0.81
BHAG-CHC-1,32,31,27,0.87
BHAG-CHC-1,33,31,18,0.58
BHAG-CHC-1,34,31,23,0.74
BHAG-CHC-1,35,31,24,0.77
BHAG-CHC-1,36,31,23,0.74
BHAG-CHC-1,37,31,22,0.71
BHAG-CHC-1,38,31,27,0.87
BHAG-CHC-1,39,31,26,0.84
BHAG-CHC-1,40,31,25,0.81
BHAG-CHC-1,41,31,31,1.0
BHAG-CHC-1,42,31,19,0.61
BHAG-CHC-1,43,31,28,0.9
BHAG-CHC-1,44,31,19,0.61
BHAG-CHC-1,45,31,24,0.77
BHAG-CHC-1,46,31,24,0.77
BHAG-CHC-1,47,31,28,0.9
BHAG-CHC-1,48,31,19,0.61
BHAG-CHC-1,49,31,25,0.81
BHAG-CHC-1,50,31,24,0.77
BHAG-CHC-1,51,31,23,0.74
BHAG-CHC-1,52,31,18,0.58
BHAG-CHC-1,53,31,26,0.84
BHAG-CHC-1,54,31,24,0.77
BHAG-CHC-1,55,31,26,0.84
BHAG-CHC-1,56,31,24,0.77
BHAG-CHC-1,57,31,23,0.74
