facility_id,day,rostered_doctors,doctors_present,attendance_rate
BHAG-CHC-1,0,4,3,0.75
BHAG-CHC-1,1,4,2,0.5
BHAG-CHC-1,2,4,3,0.75
BHAG-CHC-1,3,4,3,0.75
BHAG-CHC-1,4,4,3,0.75
BHAG-CHC-1,5,4,2,0.5
BHAG-CHC-1,6,4,2,0.5
BHAG-CHC-1,7,4,3,0.75
BHAG-CHC-1,8,4,3,0.75
BHAG-CHC-1,9,4,3,0.75
BHAG-CHC-1,10,4,3,0.75
BHAG-CHC-1,11,4,3,0.75
BHAG-CHC-1,12,4,2,0.5
BHAG-CHC-1,13,4,3,0.75
BHAG-CHC-1,14,4,3,0.75
BHAG-CHC-1,15,4,2,0.5
BHAG-CHC-1,16,4,3,0.75
BHAG-CHC-1,17,4,3,0.75
BHAG-CHC-1,18,4,3,0.75
BHAG-CHC-1,19,4,2,0.5
BHAG-CHC-1,20,4,2,0.5
BHAG-CHC-1,21,4,3,0.75
BHAG-CHC-1,22,4,3,0.75
BHAG-CHC-1,23,4,2,0.5
BHAG-CHC-1,24,4,3,0.75
BHAG-CHC-1,25,4,3,0.75
BHAG-CHC-1,26,4,2,0.5
BHAG-CHC-1,27,4,2,0.5
BHAG-CHC-1,28,4,3,0.75
BHAG-CHC-1,29,4,3,0.75
BHAG-CHC-1,30,4,3,0.75
BHAG-CHC-1,31,4,2,0.5
BHAG-CHC-1,32,4,3,0.75
BHAG-CHC-1,33,4,2,0.5
BHAG-CHC-1,34,4,2,0.5
BHAG-CHC-1,35,4,3,0.75
BHAG-CHC-1,36,4,3,0.75
BHAG-CHC-1,37,4,3,0.75
BHAG-CHC-1,38,4,3,0.75
BHAG-CHC-1,39,4,3,0.75
BHAG-CHC-1,40,4,2,0.5
BHAG-CHC-1,41,4,2,0.5
BHAG-CHC-1,42,4,3,0.75
BHAG-CHC-1,43,4,3,0.75
BHAG-CHC-1,44,4,2,0.5
BHAG-CHC-1,45,4,2,0.5
BHAG-CHC-1,46,4,2,0.5
BHAG-CHC-1,47,4,2,0.5
BHAG-CHC-1,48,4,2,0.5
BHAG-CHC-1,49,4,2,0.5
BHAG-CHC-1,50,4,3,0.75
BHAG-CHC-1,51,4,3,0.75
BHAG-CHC-1,52,4,3,0.75
BHAG-CHC-1,53,4,3,0.75
BHAG-CHC-1,54,4,2,0.5
BHAG-CHC-1,55,4,2,0.5
BHAG-CHC-1,56,4,3,0.75
BHAG-CHC-1,57,4,2,0.5
BHAG-CHC-1,58,4,3,0.75
BHAG-CHC-1,59,4,2,0.5
BHAG-CHC-1,60,4,3,0.75
BHAG-CHC-1,61,4,2,0.5
BHAG-CHC-1,62,4,2,0.5
BHAG-CHC-1,63,4,2,0.5
BHAG-CHC-1,64,4,3,0.75
BHAG-CHC-1,65,4,3,0.75
BHAG-CHC-1,66,4,3,0.75
BHAG-CHC-1,67,4,3,0.75
BHAG-CHC-1,68,4,2,0.5
BHAG-CHC-1,69,4,2,0.5
BHAG-CHC-1,70,4,3,0.75
BHAG-CHC-1,71,4,3,0.75
BHAG-CHC-1,72,4,3,0.75
BHAG-CHC-1,73,4,3,0.75
BHAG-CHC-1,74,4,3,0.75
BHAG-CHC-1,75,4,3,0.75
BHAG-CHC-1,76,4,3,0.75
BHAG-CHC-1,77,4,3,0.75
BHAG-CHC-1,78,4,3,0.75
BHAG-CHC-1,79,4,3,0.75
BHAG-CHC-1,80,4,2,0.5
BHAG-CHC-1,81,4,3,0.75
BHAG-CHC-1,82,4,2,0.5
BHAG-CHC-1,83,4,3,0.75
BHAG-CHC-1,84,4,3,0.75
BHAG-CHC-1,85,4,3,0.75
BHAG-CHC-1,86,4,3,0.75
BHAG-CHC-1,87,4,3,0.75
BHAG-CHC-1,88,4,3,0.75
BHAG-CHC-1,89,4,2,0.5
BHAG-PHC-2,0,1,1,1.0
BHAG-PHC-2,1,1,0,0.0
BHAG-PHC-2,2,1,1,1.0
BHAG-PHC-2,3,1,1,1.0
BHAG-PHC-2,4,1,1,1.0
BHAG-PHC-2,5,1,1,1.0
BHAG-PHC-2,6,1,1,1.0
BHAG-PHC-2,7,1,1,1.0
BHAG-PHC-2,8,1,1,1.0
BHAG-PHC-2,9,1,1,1.0
BHAG-PHC-2,10,1,1,1.0
BHAG-PHC-2,11,1,1,1.0
BHAG-PHC-2,12,1,1,1.0
BHAG-PHC-2,13,1,1,1.0
BHAG-PHC-2,14,1,1,1.0
BHAG-PHC-2,15,1,1,1.0
BHAG-PHC-2,16,1,1,1.0
BHAG-PHC-2,17,1,1,1.0
BHAG-PHC-2,18,1,1,1.0
BHAG-PHC-2,19,1,1,1.0
BHAG-PHC-2,20,1,1,1.0
BHAG-PHC-2,21,1,1,1.0
BHAG-PHC-2,22,1,1,1.0
BHAG-PHC-2,23,1,1,1.0
BHAG-PHC-2,24,1,1,1.0
BHAG-PHC-2,25,1,1,1.0
BHAG-PHC-2,26,1,1,1.0
BHAG-PHC-2,27,1,1,1.0
BHAG-PHC-2,28,1,1,1.0
BHAG-PHC-2,29,1,1,1.0
BHAG-PHC-2,30,1,1,1.0
BHAG-PHC-2,31,1,1,1.0
BHAG-PHC-2,32,1,1,1.0
BHAG-PHC-2,33,1,1,1.0
BHAG-PHC-2,34,1,1,1.0
BHAG-PHC-2,35,1,1,1.0
BHAG-PHC-2,36,1,1,1.0
BHAG-PHC-2,37,1,1,1.0
BHAG-PHC-2,38,1,1,1.0
BHAG-PHC-2,39,1,1,1.0
BHAG-PHC-2,40,1,1,1.0
BHAG-PHC-2,41,1,1,1.0
BHAG-PHC-2,42,1,1,1.0
BHAG-PHC-2,43,1,1,1.0
BHAG-PHC-2,44,1,1,1.0
BHAG-PHC-2,45,1,1,1.0
BHAG-PHC-2,46,1,0,0.0
BHAG-PHC-2,47,1,1,1.0
BHAG-PHC-2,48,1,0,0.0
BHAG-PHC-2,49,1,1,1.0
BHAG-PHC-2,50,1,1,1.0
BHAG-PHC-2,51,1,1,1.0
BHAG-PHC-2,52,1,1,1.0
BHAG-PHC-2,53,1,1,1.0
BHAG-PHC-2,54,1,1,1.0
BHAG-PHC-2,55,1,1,1.0
BHAG-PHC-2,56,1,1,1.0
BHAG-PHC-2,57,1,1,1.0
BHAG-PHC-2,58,1,1,1.0
BHAG-PHC-2,59,1,1,1.0
BHAG-PHC-2,60,1,1,1.0
BHAG-PHC-2,61,1,1,1.0
BHAG-PHC-2,62,1,1,1.0
BHAG-PHC-2,63,1,1,1.0
BHAG-PHC-2,64,1,1,1.0
BHAG-PHC-2,65,1,1,1.0
BHAG-PHC-2,66,1,1,1.0
BHAG-PHC-2,67,1,1,1.0
BHAG-PHC-2,68,1,0,0.0
BHAG-PHC-2,69,1,1,1.0
BHAG-PHC-2,70,1,1,1.0
BHAG-PHC-2,71,1,1,1.0
BHAG-PHC-2,72,1,1,1.0
BHAG-PHC-2,73,1,1,1.0
BHAG-PHC-2,74,1,1,1.0
BHAG-PHC-2,75,1,1,1.0
BHAG-PHC-2,76,1,1,1.0
BHAG-PHC-2,77,1,1,1.0
BHAG-PHC-2,78,1,1,1.0
BHAG-PHC-2,79,1,1,1.0
BHAG-PHC-2,80,1,1,1.0
BHAG-PHC-2,81,1,1,1.0
BHAG-PHC-2,82,1,1,1.0
BHAG-PHC-2,83,1,1,1.0
BHAG-PHC-2,84,1,1,1.0
BHAG-PHC-2,85,1,1,1.0
BHAG-PHC-2,86,1,1,1.0
BHAG-PHC-2,87,1,1,1.0
BHAG-PHC-2,88,1,1,1.0
BHAG-PHC-2,89,1,1,1.0
BHAG-PHC-3,0,1,1,1.0
BHAG-PHC-3,1,1,1,1.0
BHAG-PHC-3,2,1,1,1.0
BHAG-PHC-3,3,1,1,1.0
BHAG-PHC-3,4,1,1,1.0
BHAG-PHC-3,5,1,1,1.0
BHAG-PHC-3,6,1,1,1.0
BHAG-PHC-3,7,1,1,1.0
BHAG-PHC-3,8,1,1,1.0
BHAG-PHC-3,9,1,1,1.0
BHAG-PHC-3,10,1,1,1.0
BHAG-PHC-3,11,1,1,1.0
BHAG-PHC-3,12,1,1,1.0
BHAG-PHC-3,13,1,1,1.0
BHAG-PHC-3,14,1,1,1.0
BHAG-PHC-3,15,1,1,1.0
BHAG-PHC-3,16,1,1,1.0
BHAG-PHC-3,17,1,1,1.0
BHAG-PHC-3,18,1,1,1.0
BHAG-PHC-3,19,1,1,1.0
BHAG-PHC-3,20,1,1,1.0
BHAG-PHC-3,21,1,1,1.0
BHAG-PHC-3,22,1,1,1.0
BHAG-PHC-3,23,1,1,1.0
BHAG-PHC-3,24,1,1,1.0
BHAG-PHC-3,25,1,1,1.0
BHAG-PHC-3,26,1,0,0.0
BHAG-PHC-3,27,1,1,1.0
BHAG-PHC-3,28,1,1,1.0
BHAG-PHC-3,29,1,1,1.0
BHAG-PHC-3,30,1,1,1.0
BHAG-PHC-3,31,1,1,1.0
